block.no;lar.density;lar.dev.rep;date;exp.day;1.instar;2.instar;3.instar;4.instar;pupa;Tot_pupa;adult;Tot_adult;male;female;Total_Alive;Dead;New Dead
14,3;low;1;30-jul-20;0;26;0;0;0;0;0;0;0;0;0;26;0;0
14,3;low;1;31-jul-20;1;17;8;0;0;0;0;0;0;0;0;25;1;1
14,3;low;1;1-ago-20;2;1;11;11;0;0;0;0;0;0;0;23;3;2
14,3;low;1;2-ago-20;3;0;0;10;7;0;0;0;0;0;0;17;9;6
14,3;low;1;3-ago-20;4;0;0;1;16;0;0;0;0;0;0;17;9;0
14,3;low;1;4-ago-20;5;0;0;1;14;2;2;0;0;0;0;17;9;0
14,3;low;1;5-ago-20;6;0;0;0;1;14;16;0;0;0;0;17;9;0
14,3;low;1;6-ago-20;7;0;0;0;1;0;16;0;0;0;0;17;9;0
14,3;low;1;7-ago-20;8;0;0;0;1;0;9;7;7;4;3;17;9;0
14,3;low;1;8-ago-20;9;0;0;0;0;1;3;7;14;4;3;17;9;0
14,3;low;1;9-ago-20;10;0;0;0;0;0;2;1;15;0;1;17;9;0
14,3;low;2;30-jul-20;0;26;0;0;0;0;0;0;0;0;0;26;0;0
14,3;low;2;31-jul-20;1;15;10;0;0;0;0;0;0;0;0;25;1;1
14,3;low;2;1-ago-20;2;2;13;10;0;0;0;0;0;0;0;25;1;0
14,3;low;2;2-ago-20;3;0;0;11;14;0;0;0;0;0;0;25;1;0
14,3;low;2;3-ago-20;4;0;0;2;23;0;0;0;0;0;0;25;1;0
14,3;low;2;4-ago-20;5;0;0;1;23;1;1;0;0;0;0;25;1;0
14,3;low;2;5-ago-20;6;0;0;0;3;19;20;0;0;0;0;23;3;2
14,3;low;2;6-ago-20;7;0;0;0;1;1;21;0;0;0;0;22;4;1
14,3;low;2;7-ago-20;8;0;0;0;1;0;12;9;9;6;3;22;4;0
14,3;low;2;8-ago-20;9;0;0;0;1;0;2;10;19;2;8;22;4;0
14,3;low;2;9-ago-20;10;0;0;0;1;0;2;0;19;0;0;22;4;0
14,3;low;2;10-ago-20;11;0;0;0;1;0;2;0;19;0;0;22;4;0
14,3;low;2;11-ago-20;12;0;0;0;1;0;2;0;19;0;0;22;4;0
14,3;low;2;12-ago-20;13;0;0;0;1;0;2;0;19;0;0;22;4;0
14,3;low;2;13-ago-20;14;0;0;0;1;0;2;0;19;0;0;22;4;0
14,3;low;3;30-jul-20;0;26;0;0;0;0;0;0;0;0;0;26;0;0
14,3;low;3;31-jul-20;1;13;13;0;0;0;0;0;0;0;0;26;0;0
14,3;low;3;1-ago-20;2;3;12;11;0;0;0;0;0;0;0;26;0;0
