"","block.no","lar.density","rep","sex","dev.time","b.mass.em"
"1",1.1,"low",1,"F","165.16666666668607",2.91
"2",1.1,"low",1,"M","160.84999999991851",1.52
"3",1.1,"low",1,"M","146.43333333340706",1.57
"4",1.1,"low",1,"F","168.04999999998836",2.89
"5",1.1,"low",1,"F","172.54999999998836",3.06
"6",1.1,"low",1,"M","148.73333333339542",1.46
"7",1.1,"low",1,"F","162.53333333332557",2.99
"8",1.1,"low",1,"M","143.46666666667443",1.46
"9",1.1,"low",1,"F","185.01666666660458",2.86
"10",1.1,"low",1,"F","162.65000000002328",2.99
"11",1.1,"low",1,"F","155.71666666661622",2.77
"12",1.1,"low",1,"M","148.68333333340706",1.45
"13",1.1,"low",1,"M","151.21666666661622",1.59
"14",1.1,"low",1,"M","176.73333333333721",1.33
"15",1.1,"low",1,"F","149.08333333331393",2.95
"16",1.1,"low",1,"M","143.28333333326736",1.7
"17",1.1,"low",1,"F","211.28333333332557",2.53
"18",1.2,"high",1,"M","157.48333333327901",0.89
"19",1.2,"high",1,"M","144.23333333339542",1.07
"20",1.2,"high",1,"F","159.24999999994179",1.32
"21",1.2,"high",1,"M","144.34999999991851",0.98
"22",1.2,"high",1,"M","176.34999999997672",0.68
"23",1.2,"high",1,"M","148.98333333333721",0.81
"24",1.2,"high",1,"M","164.00000000005821",0.65
"25",1.2,"high",1,"F","184.83333333337214",1.3
"26",1.2,"high",1,"M","157.25000000005821",0.89
"27",1.2,"high",1,"M","157.74999999994179",0.54
"28",1.2,"high",1,"M","170.39999999996508",0.76
"29",1.2,"high",1,"M","148.53333333326736",0.93
"30",1.2,"high",1,"M","153.45000000006985",0.85
"31",1.2,"high",1,"F","168.01666666672099",1.11
"32",1.2,"high",1,"F","169.1333333333605",1.31
"33",1.2,"high",1,"M","156.19999999995343",0.78
"34",1.2,"high",1,"F","158.3833333334187",1.14
"35",1.2,"high",1,"M","145.08333333337214",0.91
"36",1.2,"high",1,"F","167.13333333330229",0.97
"37",1.2,"high",1,"M","170.34999999997672",0.45
"38",1.2,"high",1,"M","144.6166666665813",0.97
"39",1.2,"high",1,"F","175.01666666666279",0.99
"40",1.2,"high",1,"M","148.68333333340706",0.99
"41",1.2,"high",1,"M","154.03333333338378",0.8
"42",1.2,"high",1,"M","148.61666666669771",0.93
"43",1.2,"high",1,"M","148.53333333326736",0.79
"44",1.2,"high",1,"F","185.53333333338378",1.39
"45",1.2,"high",1,"M","152.48333333339542",0.69
"46",1.2,"high",1,"M","164.26666666672099",0.9
"47",1.2,"high",1,"M","136.66666666668607",1
"48",1.2,"high",1,"M","146.20000000001164",0.93
"49",1.2,"high",1,"M","144.79999999998836",0.91
"50",1.2,"high",1,"M","144.03333333326736",1.07
"51",1.2,"high",1,"F","173.68333333334886",1.15
"52",1.2,"high",1,"F","196.51666666672099",1.14
"53",1.2,"high",1,"M","219.56666666659294",0.52
"54",1.2,"high",1,"F","188.53333333338378",1.09
"55",1.2,"high",1,"M","217.20000000006985",0.67
"56",1.2,"high",1,"F","194.46666666667443",0.93
